language ID,language,script,category
afr,Afrikaans,Latin,3    
amh,Amharic,Ge'ez,2    
arb,Arabic,Arabic,5    
asm,Assamese,Bengali,1    
bel,Belarusian,Cyrillic,3    
ben,Bengali,Bengali,3    
bod,Tibetan,Tibetan,1    
bos,Bosnian,Latin,3    
bul,Bulgarian,Cyrillic,3    
cat,Catalan,Latin,4    
ceb,Cebuano,Latin,3    
ces,Czech,Latin,4  
crh,Crimean Tatar,Latin,1    
cym,Welsh,Latin,1    
dan,Danish,Latin,3    
deu,German,Latin,5    
dzo,Dzongkha,Tibetan,1    
ell,Greek,Greek,3    
eng,English,Latin,5    
epo,Esperanto,Latin,1    
est,Estonian,Latin,3    
eus,Basque,Latin,4 
pes,Persian,Arabic,4    
fin,Finnish,Latin,4    
fao,Faroese,Latin,1    
fra,French,Latin,5    
fur,Friulian,Latin,1    
gla,Scottish Gaelic,Latin,1    
gle,Irish,Latin,2    
glg,Galician,Latin,3    
grn,Guarani,Latin,1    
guj,Gujarati,Gujarati,1    
hat,Haitian Creole,Latin,0    
hau,Hausa,Latin,2    
heb,Hebrew,Hebrew,3    
hin,Hindi,Devanagari,4    
hrv,Croatian,Latin,4 
hun,Hungarian,Latin,4    
hye,Armenian,Armenian,1    
ibo,Igbo,Latin,1    
ind,Indonesian,Latin,3    
isl,Icelandic,Latin,2    
ita,Italian,Latin,4    
jpn,Japanese,Japanese,5    
jav,Javanese,Latin,1    
kat,Georgian,Georgian,3    
kan,Kannada,Kannada,1    
kaz,Kazakh,Cyrillic,3   
khm,Khmer,Khmer,1    
kin,Kinyarwanda,Latin,1    
kir,Kyrgyz,Cyrillic,1    
kor,Korean,Hangul,4    
lao,Lao,Lao,2    
lmo,Lombard,Latin,1    
lvs,Latvian,Latin,3    
lit,Lithuanian,Latin,3    
lim,Limburgish,Latin,1    
lij,Ligurian,Latin,1    
lin,Lingala,Latin,1    
ltz,Luxembourgish,Latin,1    
mal,Malayalam,Malayalam,1    
mar,Marathi,Devanagari,2    
mkd,Macedonian,Cyrillic,1    
mlt,Maltese,Latin,2    
mri,Maori,Latin,1    
zsm,Malay,Latin,3    
mya,Burmese,Burmese,1    
npi,Nepali,Devanagari,1    
nld,Dutch,Latin,4    
ya,Chichewa,Latin,1
oci,Occitan,Latin,1    
ory,Odia,Odia,1    
pan,Punjabi,Gurmukhi,2    
pap,Papiamento,Latin,1    
pol,Polish,Latin,4    
por,Portuguese,Latin,4
prs,Dari,Arabic,0    
ron,Romanian,Latin,3    
run,Kirundi,Latin,1    
rus,Russian,Cyrillic,4    
sin,Sinhala,Sinhala,1    
slk,Slovak,Latin,3    
slv,Slovenian,Latin,3    
smo,Samoan,Latin,1    
sna,Shona,Latin,1    
snd,Sindhi,Arabic,1    
som,Somali,Latin,1    
sot,Southern Sotho,Latin,0
spa,Spanish,Latin,5    
srp,Serbian,Cyrillic,4    
sun,Sundanese,Latin,1    
swh,Swahili,Latin,2    
swe,Swedish,Latin,4    
szl,Silesian,Latin,1
tam,Tamil,Tamil,3    
tel,Telugu,Telugu,1    
tgk,Tajik,Cyrillic,1    
tha,Thai,Thai,3    
tir,Tigrinya,Ge'ez,2    
tpi,Tok Pisin,Latin,1
tur,Turkish,Latin,4    
uig,Uyghur,Arabic,1    
ukr,Ukrainian,Cyrillic,3    
urd,Urdu,Arabic,3    
uzn,Uzbek,Latin,3    
vie,Vietnamese,Latin,4
wol,Wolof,Latin,2    
xho,Xhosa,Latin,2    
yor,Yoruba,Latin,2    
zho,Chinese,Han,5    
zul,Zulu,Latin,2
